Country;ISO3166_alpha3;pop;Years
Bahrain;BHR;1.299942;2012
Bahrain;BHR;1.315029;2013
Bahrain;BHR;1.336073;2014
Bahrain;BHR;1.371853;2015
Bahrain;BHR;1.425793;2016
Bahrain;BHR;1.494077;2017
Bahrain;BHR;1.56944;2018
Bahrain;BHR;1.641164;2019
Bangladesh;BGD;65.531635;1971
Bangladesh;BGD;66.625706;1972
Bangladesh;BGD;67.637541;1973
Bangladesh;BGD;68.742222;1974
Bangladesh;BGD;70.06631;1975
Bangladesh;BGD;71.652386;1976
Bangladesh;BGD;73.463593;1977
Bangladesh;BGD;75.450033;1978
Bangladesh;BGD;77.52904;1979
Bangladesh;BGD;79.639498;1980
Bangladesh;BGD;81.767516;1981
Bangladesh;BGD;83.932132;1982
Bangladesh;BGD;86.14249;1983
Bangladesh;BGD;88.416529;1984
Bangladesh;BGD;90.76418;1985
Bangladesh;BGD;93.187593;1986
Bangladesh;BGD;95.671159;1987
Bangladesh;BGD;98.18635;1988
Bangladesh;BGD;100.695496;1989
Bangladesh;BGD;103.171957;1990
Bangladesh;BGD;105.599125;1991
Bangladesh;BGD;107.983708;1992
Bangladesh;BGD;110.350641;1993
Bangladesh;BGD;112.737684;1994
Bangladesh;BGD;115.169933;1995
Bangladesh;BGD;117.649927;1996
Bangladesh;BGD;120.160571;1997
Bangladesh;BGD;122.682818;1998
Bangladesh;BGD;125.189655;1999
Bangladesh;BGD;127.657862;2000
Bangladesh;BGD;130.088709;2001
Bangladesh;BGD;132.478077;2002
Bangladesh;BGD;134.791598;2003
Bangladesh;BGD;136.986429;2004
Bangladesh;BGD;139.035505;2005
Bangladesh;BGD;140.921154;2006
Bangladesh;BGD;142.660381;2007
Bangladesh;BGD;144.304164;2008
Bangladesh;BGD;145.924795;2009
Bangladesh;BGD;147.575433;2010
Bangladesh;BGD;149.273134;2011
Bangladesh;BGD;151.005733;2012
Bangladesh;BGD;152.761413;2013
Bangladesh;BGD;154.517385;2014
Bangladesh;BGD;156.256287;2015
Bangladesh;BGD;157.977151;2016
Bangladesh;BGD;159.685421;2017
Bangladesh;BGD;161.376713;2018
Bangladesh;BGD;163.046173;2019
Belarus;BLR;8.505724;1965
Belarus;BLR;8.587174;1966
Belarus;BLR;8.670567;1967
Belarus;BLR;8.7542;1968
Belarus;BLR;8.835743;1969
Belarus;BLR;8.913549;1970
Belarus;BLR;8.987034;1971
Belarus;BLR;9.056732;1972
